[4:07:00] s_oootu: バンしない人すらいたりするからよくわからなくなっちゃう
[4:07:04] ゆーえぬ0: ガチ始めたてゴールドからなのよろしくない
[4:07:15] atorantaru4: LV30でランクに行くとボコボコにされるのと味方からPINと暴言にさらされるので絶対ノーマルで練習してからランクに行きましょう。マジで
[4:07:20] maruta0003: 弱い時にボコられるのは経験と思うしかない気はするけどなぁ
[4:07:25] cet0s: 悲しい思いをしてアラームしか行かなくなる
[4:07:36] thalassophobia39: もしかして1番はサブ垢が増えすぎたのが原因では...?
[4:07:40] tubuan44: ノーマルはたいして練習になりません
[4:07:41] noah0w8: どれ位のランク、知識ついたら行ってもいいですか？
[4:07:46] himajin456: あったかくすれば大体美味しい
[4:07:47] nittoro2: メロンパン食いたくなってきた
[4:07:47] sutazu_lol: メロンパンはチンしたら復活するよね
[4:07:49] leon_10_09: wwwww
[4:07:51] あしや_15: 草
[4:07:51] kuronnn: 普通にサブ垢か初心者かプレスメント前に選択出来ればいいのに
[4:07:52] sinaikw: バーキンの冬辛おいしかったよ
[4:07:55] Rey_0o: 草
[4:07:57] 瓜うじ: www
[4:07:57] 吉野リオ: ３０レべになったしある程度知識もあるからランク行くか！→なんや、これほんまにLoLか？
[4:07:58] 新入り_: チート使ってね？w
[4:07:58] rikarin_1009: www
[4:07:59] yu_8686: www
[4:08:00] himajin456: 食レポうまいなw
[4:08:02] kaka0224: 諦めた
[4:08:03] kinota1221: 100レベ行ったらランク行けます
[4:08:04] wamyok: おいしそうww
[4:08:05] gil_12_12: 聞いちゃってるんだよねw
[4:08:09] hijikatasupesyaru: なんでそれをにじバラでやらんのや
[4:08:11] rrsora: w
[4:08:16] CLOver1024: 食レポテロだろこれ
[4:08:17] 吉野リオ: うまい
[4:08:19] なえきむち: www
[4:08:31] 黒の酢: ランクは190体いるチャンプがそれぞれどんな感じかわかってからで遅くない
[4:08:32] paulg1333: マックしか勝たん
[4:08:44] sanagi_sai: モスのチキンナゲットが1番です
[4:08:49] leon_10_09: ケンタッキーの美味しい🎵
[4:08:54] s_oootu: にじバラで培った食レポ力が発揮される
[4:08:55] なえきむち: たべたことないや
[4:09:19] himajin456: わかる
[4:09:41] maruta0003: で、ナゲットのソースは？
[4:09:42] s_oootu: なんかイブリン使って欲しい
[4:09:50] caitsith39: チキンナゲットはピンクスライムの件があってから食べられなくなった・・・
[4:09:56] rrsora: w
[4:09:58] snow5798: 絶対おもろいｗ
[4:10:01] kaka0224: たしかに
[4:10:02] ゆーえぬ0: 大体当てはまる
[4:10:05] senju_jp: かるびとにたようなもんか？
[4:10:06] himajin456: リリムちゃんは何してもおもろそうw
[4:10:07] Rey_0o: 確かにw
[4:10:11] paulg1333: りりむは続かなそうｗ
[4:10:15] spiegel13021: でもイブラ、リリムに炊いてたよね
[4:10:18] hush0908: 2歩で負けそう
[4:10:19] ogaken8: なにやってもおもろいの凄いよな
[4:10:19] CLOver1024: りりむ自体がおもしれー女だし…
[4:10:26] shin_1930: 絶対にふするやんw
[4:10:27] れぉん69: りりむが〇〇したりシリーズ
[4:10:32] himajin456: 草
[4:10:53] hyappoda: どこおぷ
[4:11:00] kinota1221: ドンマイだね
[4:11:01] sutazu_lol: いこう！
[4:11:04] zucchini314: セラフィーン！？
[4:11:10] s_oootu: 今サポってだれが最強なんや？
[4:11:16] kuronnn: 交換提案してみたら？
[4:11:20] CLOver1024: 適当にラックスでお茶を濁しても構わない
[4:11:28] れぉん69: ブリッツとか簡単じゃない？
[4:11:37] nagaamee: ブリッツ
[4:11:45] s_oootu: デマーシアｧｧッ！！！
[4:11:54] spiegel13021: ハイマーとか好きそう
[4:11:59] sutazu_lol: ヴァルスノーチ最強
[4:12:08] kinota1221: ノーチ最強
[4:12:21] gunmamk2: ニーコsup今隠れOPらしい
[4:12:35] 吉野リオ: ニーコサポは相手に来た時だるいね
[4:12:55] sutazu_lol: イグナイト
[4:13:22] onigirimarun: がんばえー！
[4:13:27] s_oootu: ミニオンウルト楽しそう
[4:13:51] CLOver1024: やっぱサブモニターあるとLoL捗りそうや
[4:14:27] cet0s: ultのクールタイム短くなるやつは遠すぎか
[4:15:00] 新入り_: ソリは違うのか
[4:15:06] s_oootu: 脅威ヴァルス見てるとハンゾー思い出すわ
[4:15:12] spiegel13021: ソリ流行ってなかった？
[4:15:22] nabe3i: マップは写したいけど、ランクだから隠してる的なのの折衷案？
[4:17:21] CLOver1024: ミニオン越しのスネアがクソ速いんだっけニーコ
[4:17:32] ふぃーふぃー: キャノン取っていいですよ、ADCにはキャノンミニオン分のお金入ります
[4:20:30] kinota1221: ヤスオじゃあアーリはきついやろうな
[4:22:19] CLOver1024: 上半身ないなった
[4:28:44] 瓜うじ: あぶあぶ
[4:28:54] かんだ〇: こんはる
[4:30:08] mou1is: サポアイテム進化させてね
[4:30:33] かんだ〇: なんか許されて草
[4:31:11] れぉん69: ニーゴの変身の上にある
[4:32:09] _そらら_: なんかマップすげぇ特殊な隠し方してて草
[4:32:20] かんだ〇: うぇーい
[4:32:22] CLOver1024: 模範的ヤスオ
[4:32:22] kinota1221: ﾊｻｷ!
[4:33:15] れぉん69: ミニオンに変身ウルトめっちゃ刺さりそうだな
[4:37:45] leon_10_09: www
[4:38:06] whirling_cat: ww
[4:38:25] ゆーえぬ0: ゴーストこわ
[4:41:15] mou1is: サポートでワード置かないのはマジでトロールだぞ
